category,brand_name,product_name,review_title,review_detail,review_date,review_views
체다,사토리,헤리티지 체다,['좋아요 '],"
와인안주로 잘먹었어요
무난한 맛이에요
",['2020-08-02'],['4']
체다,사토리,헤리티지 체다,['맛있어요 '],"
딱 적당합니다 적당히 부드럽고 적당히 깊은 맛
",['2020-08-02'],['2']
체다,사토리,헤리티지 체다,['어디든 다 잘어울려요 '],"
안주로 크래커랑 먹어도 맛있고 샐러드 위에 뿌려 먹어도 맛나요
",['2020-08-01'],['6']
체다,사토리,헤리티지 체다,['명성만큼 진한 맛 '],"
샌드위치용으로 좋아요
",['2020-07-24'],['5']
체다,사토리,헤리티지 체다,['가격은 좀 있지만 맛은 굿~ '],"
가격은 좀 있지만 맛있어요~~ 샐러드에 먹으니 잘 어울려요~
",['2020-07-14'],['6']
체다,사토리,헤리티지 체다,['아이들이 좋아해요 '],"
파스타나 샐러드에 그라나파다노 같은걸 갈아올려 먹는데 아이들이 보더니 자기들도 갈아달라고 하더라고요. 너무 숙성된건 향이 강할것 같아 이 체다로 갈아 올려주니 너무 맛있다고 좋아해서 안 떨어지게 사다놔요. 
그냥 샐러드에 넣어도 맛나요.
",['2020-06-29'],['12']
체다,사토리,헤리티지 체다,['누가 먹어도 맛있는 부드러운 치즈 '],"
아이가 너무 좋아해서 자꾸만 사래요 ㅎㅎ 리조또 위에 뿌려주면 너무 잘먹어요. 샐러드에도 팍팍~
",['2020-06-24'],['12']
체다,사토리,헤리티지 체다,['맛있어요 '],"
고민하다 후기가 좋아서 구매했는데, 씹을수록 고소하고 맛있습니다.
",['2020-06-19'],['1']
체다,사토리,헤리티지 체다,['누구나 좋아할 맛 ㅎㅎ '],"
적당한 염도에 농축된 치즈맛, 맛있습니다.
유통기한은 8월 18일, 두달이상 남음.
",['2020-06-16'],['10']
체다,사토리,헤리티지 체다,['맛이 '],"
풍부한 치즈인거 같아요. 먹던 치즈가 계속 품절이라 요게 후기 좋아서 한 번 주문해봤어요. 나 체다치즈다ㅎ하는 깊은 맛인거 같네요
",['2020-06-15'],['6']
체다,사토리,헤리티지 체다,['샌드위치용 '],"
샌드위치 해서 먹으려고 샀어요.
풍미도 좋고 맛있어요.
",['2020-06-15'],['8']
체다,사토리,헤리티지 체다,['???? '],"
치즈를 잘 알지 못하지만 해보고싶은 요리가 있어 처음으로 구매했어요
당연한 얘기지만 슬라이스 치즈랑 차원이 다르네요
파스타에도 갈아 넣었더니 고소하면서 맛있고
카넬로니 할때도 넣었는데 대만족 입니다
앞으로 슬라이스 치즈 못사먹겠어요
다 똑같은 치즈인줄 알았는데 다르네요 ㅎㅎ
많이 넣어서 먹어도 짜지않고 고소하니 맛있습니다
",['2020-06-14'],['1']
체다,사토리,헤리티지 체다,['맛있어요 '],"
맛이 세지 않고 다른 재료랑 잘 어우러져요
",['2020-06-13'],['1']
체다,사토리,헤리티지 체다,['맛있어요 '],"
재구매 할꺼에요. 빵도 크랙커에도 와인에도 모두 잘 어울려요
",['2020-05-31'],['2']
체다,사토리,헤리티지 체다,['사토리는 처음 이지만 '],"
처음 주문하지만 워낙
컬리를 믿으니 맛있을꺼라는 생각이 들어요
행복한 시간을 채워주는 컬리에게 고맙습니다 
치즈 잘먹겠습니다
",['2020-05-22'],['16']
체다,사토리,헤리티지 체다,['막 쓰기 좋아여 '],"
부드럽고 특유의 진한향 없어서 8세 첫째도 너무 좋아해요. 주로 샐러드에 넣는데 누구에게나 크게 불호없어요.
",['2020-05-21'],['10']
체다,사토리,헤리티지 체다,['아이가 너무 좋아해서... '],"
자꾸 제 샐러드용으로 산걸 뺏어먹네요
",['2020-05-21'],['13']
체다,사토리,헤리티지 체다,['좋아요 '],"
샐러드에 넣어서 먹으니 너무 좋아요
",['2020-05-10'],['3']
